id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna
ANAPC5	6	5.8078e-06	9.3406e-06	0.00495	1	3	0.61367	0.71454	0.999379	373	1
POLR2I	6	1.1474e-05	2.8022e-05	0.007426	2	5	0.62012	0.71727	0.999379	374	1
GAPDH	6	2.1257e-05	8.4065e-05	0.014851	3	5	0.07821	0.18215	0.884645	108	1
SMC1A	6	4.2865e-05	0.00023351	0.030693	4	6	0.99976	0.99967	0.999673	530	0
RRM2	6	4.9263e-05	0.00028956	0.030693	5	5	0.44829	0.58419	0.99877	310	1
DNA2	6	7.5447e-05	0.00040164	0.035479	6	5	0.99381	0.99347	0.999673	523	0
HAUS1	6	0.00011322	0.00053241	0.038985	7	5	0.89278	0.89256	0.999379	456	0
PSMB5	6	0.00013606	0.00058846	0.038985	8	5	0.27122	0.43831	0.971975	239	1
RPA3	6	0.00016803	0.00070054	0.041254	9	4	0.67819	0.74391	0.999379	388	1
TOP2A	6	0.00032276	0.0014291	0.075743	10	4	0.9207	0.92104	0.999379	472	0
CDC20	6	0.00050457	0.0023258	0.112061	11	5	0.96663	0.96668	0.999379	509	0
POLR2D	6	0.0006336	0.0027741	0.122525	12	4	0.96503	0.96511	0.999379	508	0
MAD2L1	6	0.00073946	0.0031851	0.129855	13	4	0.91189	0.91204	0.999379	465	0
WEE1	6	0.0013812	0.0057818	0.218883	14	4	0.12319	0.24867	0.939529	138	2
RAD9A	6	0.0016598	0.0068093	0.240594	15	5	0.99958	0.99952	0.999673	528	0
PSMB7	6	0.0019763	0.0081356	0.265545	16	4	0.99862	0.99857	0.999673	526	0
PSMC1	6	0.0023418	0.0094246	0.265545	17	5	0.74679	0.78073	0.999379	406	1
PSMB3	6	0.0023772	0.0095367	0.265545	18	5	0.99901	0.99896	0.999673	527	0
PSMD12	6	0.0024862	0.0098916	0.265545	19	5	0.99962	0.99958	0.999673	529	0
CDC45	6	0.0026968	0.010938	0.265545	20	4	0.35932	0.50937	0.980216	272	2
PCNA	6	0.0028249	0.011573	0.265545	21	4	0.99326	0.99293	0.999673	522	0
RAD21	6	0.0029519	0.012096	0.265545	22	3	0.96337	0.96339	0.999379	506	0
ANAPC4	6	0.0030063	0.012189	0.265545	23	4	0.87727	0.87752	0.999379	449	1
PLK1	6	0.0030359	0.012376	0.265545	24	4	0.8722	0.87182	0.999379	446	1
PSMD4	6	0.0030677	0.012526	0.265545	25	3	0.96041	0.96035	0.999379	504	0
PSMC4	6	0.0042547	0.016934	0.345202	26	3	0.2026	0.35792	0.944532	198	3
CDC23	6	0.0049377	0.018933	0.369051	27	4	0.22274	0.38488	0.944532	212	1
RUVBL1	6	0.0051159	0.019662	0.369051	28	2	0.90051	0.90023	0.999379	460	0
PSMA6	6	0.0056683	0.0211	0.369051	29	3	0.73004	0.77156	0.999379	401	1
MUS81	6	0.0056878	0.021194	0.369051	30	4	0.97647	0.97653	0.999379	517	0
PSMA7	6	0.0058583	0.021586	0.369051	31	2	0.53765	0.66425	0.999379	347	1
PSMB1	6	0.0064529	0.023024	0.373087	32	4	0.47037	0.60489	0.999379	316	2
MDM2	6	0.0065417	0.02323	0.373087	33	4	0.8501	0.85198	0.999379	438	1
PSMC2	6	0.0073508	0.025304	0.394438	34	3	0.95915	0.95936	0.999379	502	0
GINS3	6	0.0084206	0.027826	0.417079	35	4	0.085837	0.19362	0.884645	116	1
WRN	6	0.0085947	0.02833	0.417079	36	3	0.68057	0.74497	0.999379	389	1
PSMB4	6	0.010027	0.031842	0.456115	37	3	0.73346	0.77352	0.999379	402	1
PSMD1	6	0.010485	0.032963	0.459745	38	4	0.86733	0.86713	0.999379	444	1
PSMA5	6	0.01121	0.034812	0.47309	39	4	0.78404	0.80307	0.999379	415	1
HAUS8	6	0.013501	0.040884	0.540665	40	3	0.39694	0.54058	0.987965	290	2
CDC16	6	0.013874	0.041967	0.540665	41	4	0.94396	0.94342	0.999379	496	0
H2AFX	6	0.014243	0.042845	0.540665	42	4	0.92458	0.92467	0.999379	478	0
POLE2	6	0.01526	0.045348	0.553443	43	3	0.20091	0.35572	0.944532	197	1
POLR2L	6	0.015489	0.045946	0.553443	44	3	0.17683	0.32248	0.942803	179	2
MCM7	6	0.015984	0.047011	0.553685	45	4	0.92144	0.92181	0.999379	473	0
REV3L	6	0.016684	0.048524	0.556457	46	3	0.93816	0.9376	0.999379	491	0
PSMD7	6	0.016994	0.049346	0.556457	47	3	0.6611	0.73584	0.999379	384	1
GINS1	6	0.018196	0.052204	0.575449	48	4	0.94093	0.94036	0.999379	492	0
CHEK1	6	0.018594	0.053381	0.575449	49	3	0.2342	0.40091	0.944532	224	3
POLD4	6	0.019205	0.055081	0.575449	50	4	0.7355	0.77443	0.999379	403	1
POLR2E	6	0.019434	0.055698	0.575449	51	4	0.53006	0.65781	0.999379	343	1
GTF2H2	6	0.019945	0.057024	0.575449	52	4	0.926	0.9262	0.999379	479	0
UBA52	6	0.020283	0.05779	0.575449	53	3	0.51236	0.64199	0.999379	335	2
RBX1	6	0.020629	0.058631	0.575449	54	4	0.94827	0.94789	0.999379	499	0
PSMD8	6	0.021335	0.060686	0.583321	55	3	0.3231	0.47965	0.980216	253	1
PSMC5	6	0.022359	0.063058	0.583321	56	2	0.85509	0.85628	0.999379	441	1
CDK1	6	0.023104	0.064814	0.583321	57	4	0.98594	0.98533	0.999673	521	0
ORC1	6	0.02332	0.065356	0.583321	58	1	0.075591	0.17813	0.884645	105	3
SPDL1	6	0.023793	0.066533	0.583321	59	3	0.53184	0.65921	0.999379	345	2
POLR2J	6	0.02392	0.066944	0.583321	60	3	0.97019	0.97029	0.999379	513	0
RBBP4	6	0.024497	0.068401	0.583321	61	3	0.41767	0.55785	0.992142	298	1
PSMB6	6	0.025326	0.070176	0.583321	62	1	0.54796	0.67427	0.999379	353	2
PSMD14	6	0.02564	0.070923	0.583321	63	3	0.94489	0.94441	0.999379	498	0
RPA2	6	0.025796	0.071315	0.583321	64	4	0.48113	0.61387	0.999379	322	1
PPP4C	6	0.025874	0.071539	0.583321	65	4	0.568	0.69257	0.999379	361	1
SLX1B	6	0.026478	0.073146	0.587384	66	3	0.1896	0.34077	0.944532	191	2
PSMD3	6	0.02693	0.074285	0.587631	67	4	0.82444	0.83171	0.999379	430	1
CDC7	6	0.028718	0.078862	0.603193	68	3	0.91945	0.91964	0.999379	471	0
MMS22L	6	0.029113	0.079834	0.603193	69	2	0.98145	0.98112	0.999673	519	0
PRIM1	6	0.029328	0.080301	0.603193	70	2	0.81157	0.82235	0.999379	423	1
POLR2K	6	0.029511	0.080805	0.603193	71	3	0.95606	0.95592	0.999379	501	0
KIF23	6	0.030692	0.083944	0.612055	72	4	0.33416	0.48942	0.980216	260	2
SMC5	6	0.030849	0.084355	0.612055	73	4	0.64414	0.72779	0.999379	378	1
ERCC2	6	0.031324	0.085457	0.612055	74	2	0.064289	0.16005	0.883612	96	2
CENPE	6	0.033608	0.090912	0.642442	75	4	0.16372	0.3049	0.939529	172	2
CDK2	6	0.036352	0.097487	0.67333	76	4	0.61181	0.71367	0.999379	371	1
RFC3	6	0.037291	0.099673	0.67333	77	3	0.93187	0.93158	0.999379	487	0
PSMC3	6	0.037495	0.10016	0.67333	78	3	0.543	0.66943	0.999379	350	1
PNKP	6	0.037598	0.10036	0.67333	79	4	0.4334	0.57096	0.993824	304	2
POLR2C	6	0.039728	0.10442	0.69177	80	2	0.7058	0.7582	0.999379	395	1
ESPL1	6	0.042014	0.10829	0.708532	81	2	0.14641	0.28094	0.939529	155	3
UBB	6	0.044556	0.11213	0.719492	82	3	0.12621	0.25306	0.939529	140	2
EME2	6	0.04483	0.11268	0.719492	83	3	0.33921	0.49381	0.980216	263	2
RFC4	6	0.046743	0.11565	0.72329	84	2	0.8762	0.8761	0.999379	448	1
VCP	6	0.047056	0.11602	0.72329	85	3	0.94303	0.94245	0.999379	494	0
MCM4	6	0.047713	0.11736	0.72329	86	2	0.39378	0.53788	0.987965	286	2
PTTG1	6	0.051674	0.12347	0.752191	87	2	0.90375	0.90408	0.999379	462	0
UBE2C	6	0.05349	0.12674	0.763333	88	3	0.22107	0.38254	0.944532	211	1
WDR33	6	0.055943	0.1308	0.777833	89	3	0.17927	0.32599	0.942803	182	3
GINS2	6	0.056799	0.13208	0.777833	90	2	0.92168	0.92198	0.999379	474	0
ORC6	6	0.058374	0.13468	0.784409	91	3	0.83881	0.84234	0.999379	435	1
GTF2E2	6	0.059415	0.13623	0.784815	92	3	0.92921	0.92891	0.999379	483	0
PSMC6	6	0.063001	0.14214	0.804245	93	3	0.8993	0.89908	0.999379	458	0
TPR	6	0.063333	0.14264	0.804245	94	3	0.4036	0.54651	0.988561	293	2
POLH	6	0.065681	0.14615	0.815373	95	3	0.50527	0.63582	0.999379	329	2
POLD3	6	0.06929	0.15215	0.839986	96	3	0.23666	0.4041	0.947669	226	3
BARD1	6	0.072644	0.15835	0.856991	97	3	0.34643	0.49893	0.980216	269	1
TIPIN	6	0.072702	0.15846	0.856991	98	2	0.92193	0.92215	0.999379	475	0
