id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna
RRM2	6	1.5497e-05	4.6703e-05	0.021452	1	5	0.60431	0.65956	0.999617	336	1
DNA2	6	2.3988e-05	8.4065e-05	0.021452	2	5	0.96885	0.96842	0.999617	503	0
POLR2D	6	2.9572e-05	0.00012143	0.021452	3	4	0.83152	0.8301	0.999617	424	0
POLR2I	6	6.3287e-05	0.00032692	0.04314	4	4	0.039273	0.1019	0.771499	69	1
HAUS1	6	9.4931e-05	0.00043901	0.04314	5	5	0.89437	0.89431	0.999617	455	0
TOP2A	6	0.00011683	0.00051373	0.04314	6	4	0.72936	0.74027	0.999617	381	1
CDC20	6	0.00013922	0.00056977	0.04314	7	4	0.98833	0.9879	0.999617	520	0
RPA3	6	0.0002124	0.00079395	0.052599	8	3	0.79357	0.79448	0.999617	407	1
MAD2L1	6	0.00045564	0.0020082	0.109901	9	4	0.98466	0.98417	0.999617	516	0
ANAPC5	6	0.00048122	0.0021016	0.109901	10	3	0.35009	0.47759	0.999617	244	2
RAD21	6	0.00058571	0.0025126	0.109901	11	3	0.95132	0.9512	0.999617	488	0
PLK1	6	0.00065269	0.0028489	0.109901	12	4	0.87727	0.87703	0.999617	447	0
PSMB5	6	0.00065383	0.0028676	0.109901	13	5	0.19237	0.32599	0.999617	168	1
CDC45	6	0.00068323	0.0029983	0.109901	14	3	0.90346	0.9038	0.999617	460	0
PSMB7	6	0.00072501	0.0031104	0.109901	15	4	0.99941	0.99941	0.999617	529	0
PSMD8	6	0.0013926	0.0058192	0.19276	16	3	0.098203	0.19857	0.922358	114	2
PSMD12	6	0.0016245	0.0067159	0.203795	17	4	0.97969	0.97931	0.999617	511	0
MDM2	6	0.0017048	0.0069214	0.203795	18	3	0.92921	0.92925	0.999617	473	0
PSMC4	6	0.0021006	0.0085092	0.237363	19	3	0.054097	0.12637	0.816771	82	3
PSMC5	6	0.0022378	0.009107	0.241337	20	5	0.9902	0.98987	0.999617	522	0
PSMA6	6	0.0027619	0.011031	0.278406	21	3	0.8555	0.85445	0.999617	438	0
RUVBL1	6	0.0039319	0.014525	0.34991	22	2	0.77533	0.77634	0.999617	397	1
WEE1	6	0.0046634	0.016542	0.35488	23	3	0.58304	0.64733	0.999617	330	1
PSMD7	6	0.0048766	0.01699	0.35488	24	4	0.69379	0.71447	0.999617	362	1
PCNA	6	0.0051085	0.017868	0.35488	25	4	0.98993	0.98955	0.999617	521	0
WRN	6	0.005297	0.018485	0.35488	26	3	0.89183	0.89155	0.999617	453	0
MUS81	6	0.0058852	0.019867	0.35488	27	4	0.97804	0.97765	0.999617	509	0
PSMD1	6	0.0062849	0.020988	0.35488	28	4	0.9677	0.96741	0.999617	501	0
PSMC2	6	0.0064554	0.021362	0.35488	29	3	0.97159	0.97135	0.999617	506	0
SMC1A	6	0.0066142	0.021848	0.35488	30	4	0.95711	0.9574	0.999617	493	0
CDC7	6	0.0066287	0.021866	0.35488	31	3	0.93837	0.93776	0.999617	478	0
PSMC1	6	0.006894	0.022464	0.35488	32	3	0.93055	0.93055	0.999617	474	0
GINS3	6	0.0070017	0.022819	0.35488	33	4	0.39647	0.52321	0.999617	269	1
PSMA5	6	0.0071459	0.023249	0.35488	34	3	0.62194	0.66952	0.999617	338	1
PSMB3	6	0.0072301	0.023435	0.35488	35	4	0.98605	0.98555	0.999617	518	0
CDC23	6	0.0074844	0.024201	0.356298	36	2	0.62376	0.67047	0.999617	339	1
GINS2	6	0.0083239	0.026163	0.374766	37	4	0.78059	0.7812	0.999617	403	1
PSMB6	6	0.0091797	0.028218	0.393564	38	2	0.32661	0.45489	0.999617	231	2
PSMB4	6	0.0095341	0.02932	0.397896	39	3	0.84968	0.84869	0.999617	433	0
GAPDH	6	0.0098847	0.03003	0.397896	40	4	0.29909	0.42766	0.999617	221	1
POLR2L	6	0.011027	0.033243	0.426568	41	2	0.033612	0.091248	0.728462	65	2
PSMA7	6	0.011286	0.033803	0.426568	42	2	0.1086	0.21555	0.933607	122	2
POLR2J	6	0.012299	0.036568	0.450725	43	4	0.99173	0.99132	0.999617	524	0
CDK1	6	0.013602	0.039837	0.479188	44	4	0.99643	0.99612	0.999617	527	0
GTF2H2	6	0.014189	0.04165	0.479188	45	4	0.34211	0.47066	0.999617	241	1
RAD9A	6	0.014754	0.043107	0.479188	46	3	0.92144	0.92164	0.999617	472	0
CDK7	6	0.015096	0.043835	0.479188	47	4	0.93916	0.93857	0.999617	479	0
YBX1	6	0.015193	0.044097	0.479188	48	4	0.98802	0.98761	0.999617	519	0
PSMD4	6	0.01526	0.044302	0.479188	49	1	0.82347	0.82261	0.999617	421	0
PSMD14	6	0.016095	0.046189	0.489604	50	3	0.99239	0.99186	0.999617	525	0
CACYBP	6	0.016838	0.048113	0.499524	51	3	0.8993	0.89904	0.999617	457	0
CDC25A	6	0.017224	0.04901	0.499524	52	4	0.98528	0.98469	0.999617	517	0
POLR2C	6	0.018296	0.051551	0.515505	53	2	0.80537	0.80593	0.999617	412	1
KIF11	6	0.020133	0.056781	0.549325	54	4	0.98078	0.98034	0.999617	513	0
HAUS8	6	0.020252	0.057005	0.549325	55	4	0.99843	0.99853	0.999617	528	0
ANAPC4	6	0.022589	0.063058	0.5968	56	4	0.8722	0.87113	0.999617	444	0
PSMB2	6	0.023164	0.064216	0.597099	57	3	0.42545	0.55093	0.999617	280	1
RFC4	6	0.024497	0.066738	0.608337	58	3	0.2728	0.40294	0.999617	205	1
UBA52	6	0.025265	0.068083	0.608337	59	2	0.67819	0.70404	0.999617	357	1
SPDL1	6	0.026776	0.070792	0.608337	60	3	0.4268	0.55234	0.999617	281	2
ORC1	6	0.027329	0.071838	0.608337	61	1	0.078484	0.16625	0.889026	98	3
UBE2E1	6	0.027919	0.072903	0.608337	62	3	0.42803	0.5534	0.999617	283	1
VCP	6	0.027934	0.072959	0.608337	63	3	0.77827	0.77922	0.999617	400	1
UBB	6	0.029328	0.075593	0.608337	64	2	0.33248	0.46128	0.999617	235	2
POLR2K	6	0.029511	0.075967	0.608337	65	3	0.81611	0.81561	0.999617	417	0
ESPL1	6	0.02991	0.076919	0.608337	66	2	0.64673	0.68389	0.999617	346	1
POLH	6	0.030275	0.077741	0.608337	67	3	0.32745	0.45594	0.999617	232	2
MMS22L	6	0.030717	0.078507	0.608337	68	2	0.95065	0.9506	0.999617	486	0
RPA2	6	0.031124	0.079199	0.608337	69	3	0.37774	0.50457	0.999617	261	2
TPR	6	0.03437	0.085251	0.645474	70	3	0.56083	0.63548	0.999617	322	1
MCM4	6	0.039277	0.09377	0.699972	71	3	0.77415	0.77541	0.999617	396	1
REV3L	6	0.042932	0.10042	0.739205	72	3	0.15749	0.29	0.980356	155	1
RFC3	6	0.0452	0.10432	0.749901	73	2	0.68529	0.70877	0.999617	358	1
PSME4	6	0.046214	0.10606	0.749901	74	3	0.37878	0.50565	0.999617	262	1
PSMD3	6	0.046261	0.10612	0.749901	75	2	0.25515	0.38536	0.999617	197	2
POLD3	6	0.047906	0.10931	0.75922	76	3	0.28819	0.41733	0.999617	216	2
RBBP8	6	0.048765	0.11062	0.75922	77	3	0.78518	0.78576	0.999617	404	1
POLR2A	6	0.050672	0.11365	0.75922	78	2	0.15774	0.29037	0.980356	156	3
TERF1	6	0.050802	0.11398	0.75922	79	3	0.91026	0.91015	0.999617	465	0
PSMA3	6	0.051172	0.1146	0.75922	80	2	0.85468	0.85366	0.999617	436	0
RPS27A	6	0.053054	0.11811	0.772827	81	2	0.15777	0.29041	0.980356	157	2
PSMC6	6	0.055759	0.12293	0.794554	82	2	0.77237	0.77404	0.999617	395	1
ING1	6	0.057507	0.12588	0.803829	83	3	0.67177	0.69982	0.999617	352	1
POLR2E	6	0.060854	0.13164	0.822772	84	2	0.48937	0.59803	0.999617	303	1
CDK2	6	0.061031	0.13195	0.822772	85	3	0.69909	0.71822	0.999617	367	1
RBX1	6	0.065343	0.13872	0.854881	86	3	0.99959	0.99962	0.999617	530	0
POLE2	6	0.069854	0.14649	0.892398	87	2	0.47037	0.58914	0.999617	299	1
PRIM1	6	0.072455	0.15163	0.913198	88	2	0.94303	0.94238	0.999617	483	0
SLX1B	6	0.076174	0.15777	0.939537	89	3	0.27823	0.40786	0.999617	209	2
CDC26	6	0.079981	0.16459	0.969252	90	3	0.96205	0.96248	0.999617	497	0
KIF23	6	0.081873	0.16765	0.976444	91	3	0.94112	0.94032	0.999617	481	0
TXN	6	0.085727	0.17429	0.999524	92	3	0.91535	0.91548	0.999617	469	0
