id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna
FANCG	6	0.00025601	0.00084999	0.334158	1	4	0.72519	0.72525	0.959985	399	0
PLK1	6	0.00036254	0.001261	0.334158	2	3	0.7006	0.70001	0.959985	382	0
POLR2D	6	0.0008366	0.0029236	0.394802	3	3	0.54407	0.54987	0.948644	302	1
RRM2	6	0.00086659	0.0029796	0.394802	4	3	0.76265	0.76199	0.959985	419	0
UBB	6	0.0030677	0.010209	0.831064	5	2	0.24569	0.33491	0.948644	180	1
NEIL1	6	0.0031637	0.010489	0.831064	6	4	0.99947	0.99937	0.99958	529	0
MDM2	6	0.0034486	0.011424	0.831064	7	3	0.99369	0.99371	0.999371	527	0
PCNA	6	0.0039319	0.012544	0.831064	8	2	0.80221	0.80234	0.968283	439	0
CDC26	6	0.006648	0.018336	0.9808	9	2	0.78857	0.7886	0.967731	431	0
PSMB6	6	0.0071459	0.019363	0.9808	10	1	0.86503	0.86282	0.974222	464	0
PSMD12	6	0.0095818	0.024594	0.9808	11	3	0.95843	0.95764	0.984651	515	0
APLF	6	0.010021	0.02536	0.9808	12	2	0.87439	0.87232	0.974222	472	0
PPP4R4	6	0.010268	0.025808	0.9808	13	3	0.11397	0.1851	0.948644	94	1
POLR2I	6	0.01121	0.027919	0.9808	14	2	0.30364	0.37068	0.948644	202	1
CDC34	6	0.012347	0.030684	0.9808	15	2	0.056961	0.11462	0.948644	53	2
H2AFX	6	0.013237	0.032571	0.9808	16	1	0.029328	0.066962	0.948644	31	1
RECQL4	6	0.0146	0.035653	0.9808	17	2	0.036181	0.080973	0.948644	37	2
POLM	6	0.01526	0.036886	0.9808	18	1	0.94265	0.94165	0.984651	504	0
WRN	6	0.015333	0.037035	0.9808	19	3	0.18377	0.27401	0.948644	153	1
MSH2	6	0.01728	0.041126	0.9808	20	1	0.87656	0.87468	0.974222	474	0
UBE2B	6	0.018267	0.043088	0.9808	21	3	0.95576	0.95458	0.984651	513	0
NonTargetControl_0044	1	0.018601	0.043761	0.9808	22	1	0.9814	0.98116	0.990504	525	0
SGOL2	6	0.020283	0.04759	0.9808	23	2	0.30968	0.37492	0.948644	204	1
POLR2A	6	0.02131	0.049925	0.9808	24	1	0.98663	0.98645	0.993948	526	0
SMEK1	6	0.022056	0.051551	0.9808	25	3	0.18266	0.27251	0.948644	151	2
MRE11A	6	0.022606	0.052503	0.9808	26	3	0.49403	0.50905	0.948644	279	1
SF3B3	6	0.022714	0.052727	0.9808	27	2	0.065388	0.12452	0.948644	60	2
MSH3	6	0.024524	0.056464	0.9808	28	2	0.76017	0.75955	0.959985	417	0
UBE2E1	6	0.02564	0.058556	0.9808	29	2	0.58502	0.58609	0.948644	320	1
VCP	6	0.026395	0.060144	0.9808	30	2	0.62647	0.627	0.95215	348	0
RFC3	6	0.026885	0.061227	0.9808	31	3	0.14138	0.21964	0.948644	117	1
RAD23A	6	0.027329	0.062199	0.9808	32	2	0.15749	0.23995	0.948644	129	1
UBTF	6	0.028551	0.064627	0.9808	33	3	0.86771	0.86571	0.974222	467	0
XRCC4	6	0.029113	0.065804	0.9808	34	2	0.6424	0.64217	0.959985	353	0
PAPD7	6	0.033316	0.0755	0.9808	35	1	0.41243	0.44559	0.948644	246	1
NonTargetControl_0004	1	0.033618	0.07621	0.9808	36	1	0.96638	0.96575	0.985729	518	0
GTF2H2	6	0.035305	0.078732	0.9808	37	1	0.16821	0.25387	0.948644	137	2
SMC1A	6	0.035747	0.079124	0.9808	38	2	0.58796	0.58861	0.948644	323	1
PSMD4	6	0.037291	0.08131	0.9808	39	2	0.67177	0.67102	0.959985	367	0
GTF2E2	6	0.040181	0.084691	0.9808	40	2	0.24731	0.33576	0.948644	181	1
RAD1	6	0.040636	0.085307	0.9808	41	2	0.98047	0.98015	0.990504	524	0
GINS2	6	0.041094	0.085681	0.9808	42	2	0.71239	0.71215	0.959985	388	0
PSMC1	6	0.041252	0.085756	0.9808	43	2	0.23592	0.32967	0.948644	177	1
CHTF8	6	0.043227	0.088539	0.9808	44	1	0.01526	0.03853	0.948644	15	2
PSMD9	6	0.045303	0.090912	0.9808	45	2	0.15188	0.23307	0.948644	124	2
NonTargetControl_0030	1	0.045904	0.09164	0.9808	46	1	0.9541	0.95282	0.984651	512	0
