sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
RRM2_5	RRM2	552.64/559.41/543.24/527.59/503.01/571.36	108.16/107.18/109.38	542.41	108.23	600.88	1084.8	13.182	5.5635e-40	1	1.1127e-39	3.2602e-36	False
PSMD4_3	PSMD4	505.76/512.1/537.71/495.33/520.03/482.28	176.78/163.96/154.54	508.56	164.84	373.42	1017.1	10.778	2.1976e-27	1	4.3953e-27	6.439e-24	False
POLR2I_3	POLR2I	392.11/314.59/342.81/360.05/333.76/348.67	71.92/72.089/77.27	347.86	73.719	687.62	695.72	10.393	1.3289e-25	1	2.6579e-25	2.5959e-22	False
PCNA_6	PCNA	323.91/363.08/345.57/312.19/349.84/349.94	89.489/75.279/64.225	340.31	75.635	357.92	680.62	10.145	1.7401e-24	1	3.4801e-24	2.5492e-21	False
RPA3_1	RPA3	386.42/404.48/392.57/457.87/439.66/425.02	127.92/136.52/151.53	416.89	138.32	787.54	833.79	9.6475	2.5194e-22	1	5.0388e-22	2.9527e-19	False
PSMA5_5	PSMA5	473.09/528.66/514.21/515.11/537.99/510.28	211.37/230.3/199.7	512.81	213.42	495.39	1025.6	9.3485	4.4464e-21	1	8.8927e-21	4.3426e-18	False
POLR2I_4	POLR2I	272.77/268.47/301.34/264.32/276.09/271.05	68.077/66.348/62.218	275.42	65.501	174.01	550.84	8.9441	1.8748e-19	1	3.7496e-19	1.5695e-16	False
POLE2_6	POLE2	492.97/483.72/530.8/490.13/522.86/493.74	254.19/215.63/210.74	502.06	226.05	377.89	1004.1	8.7103	1.5153e-18	1	3.0307e-18	1.11e-15	False
MAD2L1_1	MAD2L1	304.02/318.14/320.69/317.39/318.63/337.22	119.68/81.659/132.46	319.2	108.99	112.36	638.41	8.3198	4.4065e-17	1	8.8129e-17	2.8691e-14	False
PLK1_5	PLK1	234.41/270.83/252.96/270.56/274.2/278.68	76.312/75.279/80.281	263.14	77.261	281.39	526.29	8.1027	2.6882e-16	1	5.3763e-16	1.5753e-13	False
DNA2_2	DNA2	402.05/376.09/364.93/367.34/391.44/316.86	133.41/143.54/182.64	368.75	151.79	877.46	737.49	7.9889	6.8076e-16	1	1.3615e-15	3.6266e-13	False
ORC1_1	ORC1	372.22/345.34/391.19/408.96/422.64/376.66	149.88/177.99/182.64	385.34	169.53	766.18	770.67	7.7737	3.8099e-15	1	7.6197e-15	1.8605e-12	False
