sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
RRM2_5	RRM2	525.83/532.64/516.93/502.14/479.39/544.28	104/64.56/97.883	516.43	86.947	540.58	1032.9	13.364	4.9341e-41	1	9.8682e-41	2.8914e-37	False
PSMD4_3	PSMD4	481.23/487.59/511.67/471.44/495.61/459.43	118.15/111.43/146.82	484.21	124.57	336.35	968.41	11.557	3.4167e-31	1	6.8334e-31	1.0011e-27	False
RPA3_1	RPA3	367.68/385.12/373.56/435.78/419.02/404.88	70.723/76.942/83.716	396.92	76.945	720.39	793.85	11.357	3.4329e-30	1	6.8659e-30	6.7057e-27	False
POLE2_6	POLE2	469.06/460.57/505.09/466.48/498.32/470.34	143.11/166.26/141.03	478.01	149.71	344.37	956.03	10.618	1.2309e-26	1	2.4619e-26	1.8033e-23	False
PCNA_6	PCNA	308.2/345.71/328.83/297.12/333.41/333.36	70.723/59.254/45.078	324.01	57.38	328.53	648.02	10.474	5.6833e-26	1	1.1367e-25	6.3608e-23	False
POLR2I_3	POLR2I	373.09/299.54/326.2/342.68/318.09/332.14	50.754/60.138/77.92	331.2	61.959	617.27	662.4	10.461	6.5128e-26	1	1.3026e-25	6.3608e-23	False
PSMA5_5	PSMA5	450.14/503.36/489.31/490.25/512.74/486.09	170.57/173.34/176.45	488.25	173.43	458.06	976.49	10.074	3.587e-24	1	7.174e-24	3.0028e-21	False
RBBP4_3	RBBP4	627.22/642.99/647.15/643.77/700.17/672.77	317.01/309.54/296.87	655.25	307.69	691.68	1310.5	9.6008	3.9667e-22	1	7.9333e-22	2.9056e-19	False
MAD2L1_1	MAD2L1	289.28/302.92/305.16/302.08/303.68/321.23	75.715/73.404/66.329	303.91	71.703	104.05	607.83	9.4188	2.2823e-21	1	4.5646e-21	1.486e-18	False
POLR2I_4	POLR2I	259.54/255.62/286.74/251.56/263.13/258.2	45.762/43.335/52.805	262.23	47.135	156.54	524.45	9.3923	2.9363e-21	1	5.8726e-21	1.7207e-18	False
ORC1_1	ORC1	354.16/328.82/372.24/389.23/402.8/358.81	113.16/153/118.49	366.88	127.06	698.85	733.76	8.8532	4.2506e-19	1	8.5012e-19	2.2644e-16	False
ERCC2_2	ERCC2	325.77/326.56/301.21/316.93/306.38/324.87	103.17/84.017/99.171	316.8	95.084	118.51	633.6	8.8082	6.3585e-19	1	1.2717e-18	3.1051e-16	False
PLK1_5	PLK1	223.04/257.87/240.71/257.51/261.32/265.47	59.075/51.294/56.025	250.54	55.371	258.9	501.08	8.7188	1.4058e-18	1	2.8115e-18	6.3367e-16	False
DNA2_2	DNA2	382.55/358.09/347.25/349.61/373.06/301.84	118.98/114.97/131.37	351.09	121.58	792.81	702.17	8.6612	2.335e-18	1	4.6701e-18	9.7738e-16	False
CDC7_4	CDC7	486.63/486.47/480.1/486.29/517.24/475.18	224.65/206.06/226.03	488.47	218.72	217.3	976.94	8.6303	3.0589e-18	1	6.1177e-18	1.195e-15	False
POLR2L_2	POLR2L	291.98/262.38/285.43/269.39/284.75/313.96	67.395/91.976/85.004	284.17	80.77	328.75	568.35	8.532	7.1908e-18	1	1.4382e-17	2.6336e-15	False
ANAPC5_2	ANAPC5	337.94/353.59/345.93/346.64/312.69/320.02	109.83/110.55/138.45	335.8	118.9	264.89	671.61	8.3696	2.8917e-17	1	5.7834e-17	9.9679e-15	False
PRIM1_2	PRIM1	277.11/280.39/327.52/257.51/288.36/295.78	88.196/95.514/78.564	287.01	87.146	546.39	574.01	8.3419	3.6549e-17	1	7.3098e-17	1.1899e-14	False
POLR2I_6	POLR2I	389.31/282.65/351.2/303.07/308.18/341.84	113.99/102.59/132.66	327.5	115.76	1513.9	655	8.2732	6.5178e-17	1	1.3036e-16	2.0102e-14	False
WRN_5	WRN	364.97/355.84/355.14/335.75/372.16/364.87	159.75/153.88/115.91	357.93	141.77	160.9	715.87	8.079	3.2641e-16	1	6.5281e-16	9.5637e-14	False
REV3L_4	REV3L	185.19/165.53/143.37/204.02/176.62/162.44	23.297/25.647/23.827	171.82	24.237	435.17	343.63	7.9612	8.518e-16	1	1.7036e-15	2.3769e-13	False
MDM2_6	MDM2	263.59/298.41/286.74/261.47/293.76/300.63	84.036/103.47/103.68	283.65	96.604	302.46	567.3	7.8531	2.0295e-15	1	4.059e-15	5.1709e-13	False
RFC3_1	RFC3	129.77/166.66/132.85/135.69/133.37/132.13	6.6563/6.1907/10.303	137.88	7.5184	195.53	275.75	7.8502	2.0267e-15	1	4.0533e-15	5.1709e-13	False
