sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
RRM2_5	RRM2	689.35/699.39/680.16/659.09/630.16/713.6	187.01/190.64/178.59/185.79/152.07/185.72	678.06	179.46	900.72	1356.6	13.537	4.7141e-42	1	9.4282e-42	2.7625e-38	False
POLR2I_3	POLR2I	489.1/393.31/429.21/449.8/418.13/435.47	185.2/187.53/202.15/165.7/170.72/166.54	434.86	179.16	1040.7	870.01	8.6689	2.1824e-18	1	4.3648e-18	6.3944e-15	False
PCNA_6	PCNA	404.04/453.94/432.67/390/438.27/437.06	209.93/203.05/177.35/157.03/164.31/201.84	425.42	184.44	575.66	851.13	8.2601	7.2804e-17	1	1.4561e-16	1.4221e-13	False
PSMA5_5	PSMA5	590.11/660.94/643.82/643.49/673.99/637.31	360.74/387.48/364.62/365.64/347.26/330.77	641.06	358.99	820.6	1282.6	7.8762	1.6868e-15	1	3.3737e-15	2.4712e-12	False
PSMB6_4	PSMB6	184.3/175.96/190.38/165.1/180.05/163.7	33.179/37.258/23.564/28.758/34.376/24.559	176.31	29.85	112.1	352.75	7.7983	3.138e-15	1	6.276e-15	3.6777e-12	False
PLK1_5	PLK1	292.4/338.6/316.72/338/343.51/348.06	152.62/153.38/119.06/120.51/125.85/113.58	328.96	129.88	447.56	658.14	7.7599	4.2512e-15	1	8.5024e-15	4.152e-12	False
POLR2I_4	POLR2I	340.24/335.65/377.29/330.2/345.88/338.52	129.1/133.51/136.42/137.86/180.04/142.75	344.3	142.38	282.91	688.83	7.6936	7.1536e-15	1	1.4307e-14	5.9886e-12	False
PSMD4_3	PSMD4	630.87/640.24/673.24/618.8/651.48/602.35	373.41/368.85/408.02/356.51/326.87/346.89	635.76	362.57	620.07	1271.9	7.6599	9.3004e-15	1	1.8601e-14	6.8125e-12	False
RPA3_1	RPA3	482.01/505.69/491.52/572/550.8/530.83	289.56/273.22/288.97/299.91/271.52/320.03	521.16	290.08	1241.3	1042.7	7.1564	4.1412e-13	1	8.2823e-13	2.6964e-10	False
MAD2L1_1	MAD2L1	379.23/397.75/401.52/396.5/399.18/421.17	208.12/220.44/245.56/196.74/210.92/177.28	399.04	208.81	179.26	798.34	6.7327	8.3268e-12	1	1.6654e-11	4.8795e-09	False
DNA2_2	DNA2	501.51/470.2/456.9/458.9/490.39/395.74	263.02/260.8/291.45/238.74/263.36/259.4	460.97	262.35	1374	922.25	6.5403	3.0689e-11	1	6.1378e-11	1.6349e-08	False
WRN_5	WRN	478.47/467.24/467.29/440.7/489.2/478.38	266.64/302.41/272.84/263.39/265.11/254.03	469.96	270.33	276.89	940.24	6.5106	3.7418e-11	1	7.4835e-11	1.8272e-08	False
